annee,regime,indicateur,valeur,unite,denominateur,source,note
2006,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",156.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2007,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",172.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2008,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",171.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2009,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",190.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2010,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",197.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2011,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",201.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2012,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",204.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2013,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",196.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2014,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",187.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2015,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",182.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2016,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",191.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
