annee,regime,indicateur,valeur,unite,denominateur,source,note
2013,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, SMIG et SMAG moyens de l'année",0.06459727,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,variante : SMIG (SMAG) moyen de l'année au prorata des jours de vigueur
2014,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, SMIG et SMAG moyens de l'année",0.06944539,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,variante : SMIG (SMAG) moyen de l'année au prorata des jours de vigueur
2015,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, SMIG et SMAG moyens de l'année",0.07501523,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,variante : SMIG (SMAG) moyen de l'année au prorata des jours de vigueur
2016,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, SMIG et SMAG moyens de l'année",0.08062475,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,variante : SMIG (SMAG) moyen de l'année au prorata des jours de vigueur
2017,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, SMIG et SMAG moyens de l'année",0.08628009,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,variante : SMIG (SMAG) moyen de l'année au prorata des jours de vigueur
2000,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, borne basse",0.05853086,taux,Σ classes × coefficient × SMIG 48 h × 2 400 h (tous les assurés au SMIG),"calcul ; décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf) ; SMIG au 1er janvier : décret n° 99-1866, JORT n° 74 du 14 septembre 1999, p. 1668 (https://www.pist.tn/jort/1999/1999F/Jo07499.pdf)","classes publiées pour l'ensemble des deux secteurs seulement (annuaire 2010, p. 141) : partage entre SMIG et SMAG inconnu"
2001,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, borne basse",0.05459817,taux,Σ classes × coefficient × SMIG 48 h × 2 400 h (tous les assurés au SMIG),"calcul ; décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf) ; SMIG au 1er janvier : décret n° 2000-949, JORT n° 38 du 12 mai 2000, p. 1006 (https://www.pist.tn/jort/2000/2000F/Jo0382000.pdf)","classes publiées pour l'ensemble des deux secteurs seulement (annuaire 2010, p. 141) : partage entre SMIG et SMAG inconnu"
2002,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, borne basse",0.05493966,taux,Σ classes × coefficient × SMIG 48 h × 2 400 h (tous les assurés au SMIG),"calcul ; décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf) ; SMIG au 1er janvier : décret n° 2001-1746, JORT n° 63 du 7 août 2001, p. 2043 (https://www.pist.tn/jort/2001/2001F/Jo0632001.pdf)","classes publiées pour l'ensemble des deux secteurs seulement (annuaire 2010, p. 141) : partage entre SMIG et SMAG inconnu"
2003,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, borne basse",0.05154856,taux,Σ classes × coefficient × SMIG 48 h × 2 400 h (tous les assurés au SMIG),"calcul ; décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf) ; SMIG au 1er janvier : décret n° 2002-1790, JORT n° 67 du 16 août 2002, p. 1954 (https://www.pist.tn/jort/2002/2002F/Jo0672002.pdf)","classes publiées pour l'ensemble des deux secteurs seulement (annuaire 2010, p. 141) : partage entre SMIG et SMAG inconnu"
2004,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, borne basse",0.05345516,taux,Σ classes × coefficient × SMIG 48 h × 2 400 h (tous les assurés au SMIG),"calcul ; décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf) ; SMIG au 1er janvier : décret n° 2003-1691, JORT n° 67 du 22 août 2003, p. 2558 (https://www.pist.tn/jort/2003/2003F/Jo0672003.pdf)","classes publiées pour l'ensemble des deux secteurs seulement (annuaire 2010, p. 141) : partage entre SMIG et SMAG inconnu"
2000,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, borne haute",0.07262878,taux,Σ classes × coefficient × SMAG × 300 j (tous les assurés au SMAG),"calcul ; décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf) ; décret n° 96-1797 du 30 septembre 1996, art. 1er, JORT n° 82 du 11 octobre 1996, p. 2021 (https://www.pist.tn/jort/1996/1996F/Jo08296.pdf) : 300 jours depuis le 1er décembre 1998 ; SMAG au 1er janvier : décret n° 99-1867, JORT n° 74 du 14 septembre 1999, p. 1669 (https://www.pist.tn/jort/1999/1999F/Jo07499.pdf)",voir la borne basse
2001,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, borne haute",0.06759684,taux,Σ classes × coefficient × SMAG × 300 j (tous les assurés au SMAG),"calcul ; décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf) ; décret n° 96-1797 du 30 septembre 1996, art. 1er, JORT n° 82 du 11 octobre 1996, p. 2021 (https://www.pist.tn/jort/1996/1996F/Jo08296.pdf) : 300 jours depuis le 1er décembre 1998 ; SMAG au 1er janvier : décret n° 2000-950, JORT n° 38 du 12 mai 2000, p. 1007 (https://www.pist.tn/jort/2000/2000F/Jo0382000.pdf)",voir la borne basse
2002,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, borne haute",0.0681872,taux,Σ classes × coefficient × SMAG × 300 j (tous les assurés au SMAG),"calcul ; décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf) ; décret n° 96-1797 du 30 septembre 1996, art. 1er, JORT n° 82 du 11 octobre 1996, p. 2021 (https://www.pist.tn/jort/1996/1996F/Jo08296.pdf) : 300 jours depuis le 1er décembre 1998 ; SMAG au 1er janvier : décret n° 2001-1747, JORT n° 63 du 7 août 2001, p. 2044 (https://www.pist.tn/jort/2001/2001F/Jo0632001.pdf)",voir la borne basse
2003,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, borne haute",0.0641742,taux,Σ classes × coefficient × SMAG × 300 j (tous les assurés au SMAG),"calcul ; décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf) ; décret n° 96-1797 du 30 septembre 1996, art. 1er, JORT n° 82 du 11 octobre 1996, p. 2021 (https://www.pist.tn/jort/1996/1996F/Jo08296.pdf) : 300 jours depuis le 1er décembre 1998 ; SMAG au 1er janvier : décret n° 2002-1791, JORT n° 67 du 16 août 2002, p. 1955 (https://www.pist.tn/jort/2002/2002F/Jo0672002.pdf)",voir la borne basse
2004,"travailleurs non salariés, ensemble des deux secteurs","taux d'équilibre, borne haute",0.0666855,taux,Σ classes × coefficient × SMAG × 300 j (tous les assurés au SMAG),"calcul ; décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf) ; décret n° 96-1797 du 30 septembre 1996, art. 1er, JORT n° 82 du 11 octobre 1996, p. 2021 (https://www.pist.tn/jort/1996/1996F/Jo08296.pdf) : 300 jours depuis le 1er décembre 1998 ; SMAG au 1er janvier : décret n° 2003-1692, JORT n° 67 du 22 août 2003, p. 2559 (https://www.pist.tn/jort/2003/2003F/Jo0672003.pdf)",voir la borne basse
2005,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.20941895,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2006,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.22159792,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2007,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.22549928,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2008,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.23860802,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2009,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.24203368,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2010,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.25977115,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2011,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.28318872,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2012,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.28388703,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2013,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.29533949,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2014,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.3168585,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2015,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.32398632,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2016,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.32090887,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2017,"travailleurs non salariés, ensemble des deux secteurs",taux de remplacement apparent,0.30912552,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,pension moyenne ÷ revenu moyen
2000,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2001,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2002,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2003,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2004,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2005,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2006,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2007,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2008,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2009,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2010,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2011,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2012,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2013,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2014,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2015,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2016,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2017,"travailleurs non salariés, ensemble des deux secteurs",taux légal de la branche pensions,0.07,taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,"décret n° 95-1166 du 3 juillet 1995, art. 7 et 9, JORT n° 55 du 11 juillet 1995, p. 1486-1489 (https://www.pist.tn/jort/1995/1995F/Jo05595.pdf)","en vigueur depuis le 19 juillet 1995 (sans clause d'effet : cinq jours après le dépôt du JORT le 14 juillet 1995) ; auparavant 5,25 % (décrets n° 82-1359, art. 8, et 82-1360, art. 5) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2005,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,-0.01614049,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2006,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,-0.01554811,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2007,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,-0.01631053,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2008,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,-0.01512106,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2009,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,-0.01642715,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2010,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,-0.01642005,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2011,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,-0.01112909,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2012,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,-0.00786365,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2013,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,-0.00540273,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2014,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,0.00224031,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2015,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,0.00786353,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2016,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,0.0125329,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2017,"travailleurs non salariés, ensemble des deux secteurs",écart taux d'équilibre − taux légal,0.01628009,points de taux,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,calcul,
2005,"travailleurs non salariés, secteur agricole",actifs,64305.0,personnes,Σ classes × coefficient × SMAG × 300 j,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 210)",
2006,"travailleurs non salariés, secteur agricole",actifs,68915.0,personnes,Σ classes × coefficient × SMAG × 300 j,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 210)",
2007,"travailleurs non salariés, secteur agricole",actifs,75250.0,personnes,Σ classes × coefficient × SMAG × 300 j,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 210)",
