annee,indicateur,valeur,unite,source,note
2001,"pensionnés, toutes natures",236126.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2002,"pensionnés, toutes natures",251304.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2003,"pensionnés, toutes natures",267619.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2004,"pensionnés, toutes natures",283907.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2005,"pensionnés, toutes natures",300094.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2006,"pensionnés, toutes natures",312892.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2007,"pensionnés, toutes natures",331272.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2008,"pensionnés, toutes natures",348354.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2009,"pensionnés, toutes natures",365636.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2010,"pensionnés, toutes natures",376818.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2011,"pensionnés, toutes natures",386086.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2012,"pensionnés, toutes natures",417562.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2013,"pensionnés, toutes natures",436375.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2014,"pensionnés, toutes natures",459703.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2015,"pensionnés, toutes natures",477141.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2016,"pensionnés, toutes natures",518996.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2017,"pensionnés, toutes natures",556882.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
2000,pensions servies sans régime complémentaire (numérateur),376.153,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2001,pensions servies sans régime complémentaire (numérateur),418.633,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2002,pensions servies sans régime complémentaire (numérateur),470.063,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2003,pensions servies sans régime complémentaire (numérateur),528.741,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2004,pensions servies sans régime complémentaire (numérateur),600.513,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2005,pensions servies sans régime complémentaire (numérateur),669.789,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2006,pensions servies sans régime complémentaire (numérateur),745.212,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2007,pensions servies sans régime complémentaire (numérateur),831.701,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2008,pensions servies sans régime complémentaire (numérateur),939.279,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2009,pensions servies sans régime complémentaire (numérateur),1028.071,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2010,pensions servies sans régime complémentaire (numérateur),1142.302,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2011,pensions servies sans régime complémentaire (numérateur),1293.305,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2012,pensions servies sans régime complémentaire (numérateur),1436.52,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2013,pensions servies sans régime complémentaire (numérateur),1573.551,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2014,pensions servies sans régime complémentaire (numérateur),1758.852,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2015,pensions servies sans régime complémentaire (numérateur),1982.719,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2016,pensions servies sans régime complémentaire (numérateur),2213.337,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2017,pensions servies sans régime complémentaire (numérateur),2445.125,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","toutes natures, orphelins compris ; montants comptables (« bilans »)"
2000,ratio pensionnés / cotisants,0.28028056,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2001,ratio pensionnés / cotisants,0.28709794,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2002,ratio pensionnés / cotisants,0.29807883,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2003,ratio pensionnés / cotisants,0.31635246,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2004,ratio pensionnés / cotisants,0.3257215,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2005,ratio pensionnés / cotisants,0.33426937,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2006,ratio pensionnés / cotisants,0.33383586,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2007,ratio pensionnés / cotisants,0.33360725,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2008,ratio pensionnés / cotisants,0.32779595,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2009,ratio pensionnés / cotisants,0.3288265,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2010,ratio pensionnés / cotisants,0.32361448,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2011,ratio pensionnés / cotisants,0.33198648,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2012,ratio pensionnés / cotisants,0.36278224,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2013,ratio pensionnés / cotisants,0.37628331,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2014,ratio pensionnés / cotisants,0.39167227,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2015,ratio pensionnés / cotisants,0.40492264,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2016,ratio pensionnés / cotisants,0.43897558,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2017,ratio pensionnés / cotisants,0.4527853,taux,calcul,"pensionnés de toutes natures ÷ actifs ; l'inverse n'est pas le rapport démographique publié, qui exclut les orphelins"
2000,salaire moyen mensuel,288.58,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 3469 D par an, rapporté aux seuls salariés déclarés"
2001,salaire moyen mensuel,305.63,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 3673 D par an, rapporté aux seuls salariés déclarés"
2002,salaire moyen mensuel,320.89,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 3856 D par an, rapporté aux seuls salariés déclarés"
2003,salaire moyen mensuel,344.72,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 4142 D par an, rapporté aux seuls salariés déclarés"
2004,salaire moyen mensuel,363.52,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 4368 D par an, rapporté aux seuls salariés déclarés"
2005,salaire moyen mensuel,379.49,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 4560 D par an, rapporté aux seuls salariés déclarés"
2006,salaire moyen mensuel,412.3,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 4954 D par an, rapporté aux seuls salariés déclarés"
2007,salaire moyen mensuel,432.0,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 5190 D par an, rapporté aux seuls salariés déclarés"
2008,salaire moyen mensuel,453.79,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 5451 D par an, rapporté aux seuls salariés déclarés"
2009,salaire moyen mensuel,488.29,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 5865 D par an, rapporté aux seuls salariés déclarés"
2010,salaire moyen mensuel,519.12,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 6235 D par an, rapporté aux seuls salariés déclarés"
2011,salaire moyen mensuel,573.91,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 6893 D par an, rapporté aux seuls salariés déclarés"
2012,salaire moyen mensuel,638.91,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 7674 D par an, rapporté aux seuls salariés déclarés"
2013,salaire moyen mensuel,707.26,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 8495 D par an, rapporté aux seuls salariés déclarés"
2014,salaire moyen mensuel,749.18,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 8998 D par an, rapporté aux seuls salariés déclarés"
2015,salaire moyen mensuel,798.61,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 9591 D par an, rapporté aux seuls salariés déclarés"
2016,salaire moyen mensuel,861.83,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 10350 D par an, rapporté aux seuls salariés déclarés"
2017,salaire moyen mensuel,921.11,dinars par mois,calcul,"dénominateur ÷ actifs non-assujettis compris ÷ 12 ; la caisse publie 11062 D par an, rapporté aux seuls salariés déclarés"
2000,taux d'équilibre,0.14048867,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2001,taux d'équilibre,0.13878507,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2002,taux d'équilibre,0.14479584,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2003,taux d'équilibre,0.15109561,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2004,taux d'équilibre,0.15793474,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2005,taux d'équilibre,0.16383134,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2006,taux d'équilibre,0.16070167,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2007,taux d'équilibre,0.16156731,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2008,taux d'équilibre,0.16230874,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2009,taux d'équilibre,0.15779186,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2010,taux d'équilibre,0.15748166,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2011,taux d'équilibre,0.16147825,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2012,taux d'équilibre,0.16278626,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2013,taux d'équilibre,0.15987326,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2014,taux d'équilibre,0.1666898,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2015,taux d'équilibre,0.17557739,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2016,taux d'équilibre,0.18101668,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2017,taux d'équilibre,0.17986081,taux,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensionnés / cotisants
2000,"taux d'équilibre, avec régime complémentaire",0.14430497,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2001,"taux d'équilibre, avec régime complémentaire",0.14292642,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2002,"taux d'équilibre, avec régime complémentaire",0.14923832,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
