annee,indicateur,valeur,unite,source,note
2011,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2012,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2013,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2014,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2015,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2016,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2017,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2000,"écart taux d'équilibre − taux légal, lecture en points",0.02548867,points de taux,calcul,
2001,"écart taux d'équilibre − taux légal, lecture en points",0.02378507,points de taux,calcul,
2002,"écart taux d'équilibre − taux légal, lecture en points",0.02979584,points de taux,calcul,
2003,"écart taux d'équilibre − taux légal, lecture en points",0.02609561,points de taux,calcul,
2004,"écart taux d'équilibre − taux légal, lecture en points",0.03293474,points de taux,calcul,
2005,"écart taux d'équilibre − taux légal, lecture en points",0.03883134,points de taux,calcul,
2006,"écart taux d'équilibre − taux légal, lecture en points",0.03570167,points de taux,calcul,
2007,"écart taux d'équilibre − taux légal, lecture en points",0.03656731,points de taux,calcul,
2008,"écart taux d'équilibre − taux légal, lecture en points",0.03730874,points de taux,calcul,
2009,"écart taux d'équilibre − taux légal, lecture en points",0.03279186,points de taux,calcul,
2010,"écart taux d'équilibre − taux légal, lecture en points",0.03248166,points de taux,calcul,
2011,"écart taux d'équilibre − taux légal, lecture en points",0.03647825,points de taux,calcul,
2012,"écart taux d'équilibre − taux légal, lecture en points",0.03778626,points de taux,calcul,
2013,"écart taux d'équilibre − taux légal, lecture en points",0.03487326,points de taux,calcul,
2014,"écart taux d'équilibre − taux légal, lecture en points",0.0416898,points de taux,calcul,
2015,"écart taux d'équilibre − taux légal, lecture en points",0.05057739,points de taux,calcul,
2016,"écart taux d'équilibre − taux légal, lecture en points",0.05601668,points de taux,calcul,
2017,"écart taux d'équilibre − taux légal, lecture en points",0.05486081,points de taux,calcul,
2000,"écart taux d'équilibre − taux légal, lecture littérale",0.03173867,points de taux,calcul,
2001,"écart taux d'équilibre − taux légal, lecture littérale",0.03003507,points de taux,calcul,
2002,"écart taux d'équilibre − taux légal, lecture littérale",0.03604584,points de taux,calcul,
2003,"écart taux d'équilibre − taux légal, lecture littérale",0.03334561,points de taux,calcul,
2004,"écart taux d'équilibre − taux légal, lecture littérale",0.04018474,points de taux,calcul,
2005,"écart taux d'équilibre − taux légal, lecture littérale",0.04608134,points de taux,calcul,
2006,"écart taux d'équilibre − taux légal, lecture littérale",0.04295167,points de taux,calcul,
2007,"écart taux d'équilibre − taux légal, lecture littérale",0.04381731,points de taux,calcul,
2008,"écart taux d'équilibre − taux légal, lecture littérale",0.04455874,points de taux,calcul,
2009,"écart taux d'équilibre − taux légal, lecture littérale",0.04004186,points de taux,calcul,
2010,"écart taux d'équilibre − taux légal, lecture littérale",0.03973166,points de taux,calcul,
2011,"écart taux d'équilibre − taux légal, lecture littérale",0.04372825,points de taux,calcul,
2012,"écart taux d'équilibre − taux légal, lecture littérale",0.04503626,points de taux,calcul,
2013,"écart taux d'équilibre − taux légal, lecture littérale",0.04212326,points de taux,calcul,
2014,"écart taux d'équilibre − taux légal, lecture littérale",0.0489398,points de taux,calcul,
2015,"écart taux d'équilibre − taux légal, lecture littérale",0.05782739,points de taux,calcul,
2016,"écart taux d'équilibre − taux légal, lecture littérale",0.06326668,points de taux,calcul,
2017,"écart taux d'équilibre − taux légal, lecture littérale",0.06211081,points de taux,calcul,
